City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Port Blair,IN,75.2,mist,11.6667,92.75,J Hotel
2,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hostal Tambo Colorado
5,Sechura,PE,78.94,clear sky,-5.5569,-80.8222,Hotel Amanecer - Sechura
17,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,Pinpin d'Amour
19,Banjar,ID,84.2,few clouds,-8.19,114.9675,The Raja Singha Boutique Resort Bali
21,Busselton,AU,71.01,clear sky,-33.65,115.3333,Amalfi Resort Busselton
28,Mahebourg,MU,80.6,light rain,-20.4081,57.7,3Ds International Tourist Home
34,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,Hotel Santa Fe
36,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Courtyard by Marriott Maui Kahului Airport
37,Cockburn Town,TC,77.52,clear sky,21.4612,-71.1419,The Salt Raker Inn
40,Tura,IN,71.11,clear sky,25.5198,90.2201,Circuit House
43,Namibe,AO,75.22,scattered clouds,-15.1961,12.1522,Restaurate Sol e Mar
53,Alta Floresta,BR,73.26,overcast clouds,-9.8756,-56.0861,Hotel Luz Divina
56,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Seaside Hotel
59,Avarua,CK,80.6,moderate rain,-21.2078,-159.775,Kiikii Inn & Suites - Rarotonga
65,Santa Cruz,BO,77.0,clear sky,-17.8,-63.1667,Hotel Jenecheru
71,Bocas Del Toro,PA,78.3,scattered clouds,9.3333,-82.25,Hotel Olas de la Madrugada
72,Sao Filipe,CV,70.77,few clouds,14.8961,-24.4956,Djarfogo house
73,Faanui,PF,83.5,clear sky,-16.4833,-151.75,Blue Heaven Island
75,New Norfolk,AU,70.0,overcast clouds,-42.7826,147.0587,Explorers Lodge
76,Pochutla,MX,80.01,clear sky,15.7432,-96.4661,Hotel Izala
80,Cayenne,GF,79.0,overcast clouds,4.9333,-52.3333,Mercure Cayenne Royal Amazonia
81,Axim,GH,79.68,overcast clouds,4.8699,-2.2405,Ankobra Beach
88,Kapaa,US,71.6,moderate rain,22.0752,-159.319,Kauai Coast Resort at the Beachboy
