City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-03-04 00:07:06,42.097,-79.2353,35.01,95,90,7.16
1,Durant,US,2021-03-04 00:07:06,33.994,-96.3708,66.2,37,1,6.91
2,Nikolskoye,RU,2021-03-04 00:07:07,59.7035,30.7861,33.01,80,40,13.42
3,Burnie,AU,2021-03-04 00:07:07,-41.0667,145.9167,71.01,72,93,18.99
4,Rikitea,PF,2021-03-04 00:05:18,-23.1203,-134.9692,79.84,79,28,8.41
5,Tuatapere,NZ,2021-03-04 00:07:08,-46.1333,167.6833,59.0,59,32,7.0
6,Albany,US,2021-03-04 00:05:44,42.6001,-73.9662,37.99,60,90,8.05
7,Ushuaia,AR,2021-03-04 00:06:03,-54.8,-68.3,53.6,54,20,3.76
8,Port Alfred,ZA,2021-03-04 00:07:08,-33.5906,26.891,69.01,93,71,1.99
9,Kodiak,US,2021-03-04 00:05:18,57.79,-152.4072,39.2,48,20,13.8
10,Evensk,RU,2021-03-04 00:07:09,61.95,159.2333,2.84,92,100,5.3
11,Cape Town,ZA,2021-03-04 00:02:57,-33.9258,18.4232,69.01,94,75,12.66
12,Jalesar,IN,2021-03-04 00:02:12,27.4833,78.3167,61.63,22,0,2.3
13,Busselton,AU,2021-03-04 00:07:09,-33.65,115.3333,69.01,94,96,4.0
14,Mayo,US,2021-03-04 00:04:51,38.8876,-76.5119,48.0,53,1,6.46
15,Ahipara,NZ,2021-03-04 00:07:10,-35.1667,173.1667,71.38,78,83,9.22
16,Hasaki,JP,2021-03-04 00:06:13,35.7333,140.8333,45.0,65,40,9.22
17,Tura,IN,2021-03-04 00:03:25,25.5198,90.2201,61.83,28,0,2.91
18,Mataura,NZ,2021-03-04 00:05:44,-46.1927,168.8643,59.0,59,35,7.0
19,Bethel,US,2021-03-04 00:06:29,41.3712,-73.414,44.6,42,1,5.75
20,Clyde River,CA,2021-03-04 00:07:11,70.4692,-68.5914,-22.0,69,1,6.91
21,Kahului,US,2021-03-04 00:05:56,20.8947,-156.47,77.0,57,40,13.8
22,Bambous Virieux,MU,2021-03-04 00:07:12,-20.3428,57.7575,75.2,88,40,4.61
23,Namatanai,PG,2021-03-04 00:07:12,-3.6667,152.4333,82.33,74,92,4.25
24,Kaeo,NZ,2021-03-04 00:07:12,-35.1,173.7833,72.0,95,100,5.01
25,Husavik,IS,2021-03-04 00:06:50,66.0449,-17.3389,28.4,93,20,13.49
26,Atuona,PF,2021-03-04 00:06:03,-9.8,-139.0333,79.72,70,1,8.57
27,Saint-Philippe,RE,2021-03-04 00:07:13,-21.3585,55.7679,77.0,78,0,5.75
28,Kapaa,US,2021-03-04 00:07:14,22.0752,-159.319,75.2,60,20,19.57
29,San Patricio,US,2021-03-04 00:05:56,28.017,-97.5169,62.6,55,75,13.8
30,Pevek,RU,2021-03-04 00:07:14,69.7008,170.3133,2.21,67,100,0.2
31,Kloulklubed,PW,2021-03-04 00:07:14,7.0419,134.2556,84.2,79,75,11.5
32,Awbari,LY,2021-03-04 00:07:15,26.5921,12.7805,57.56,35,2,14.32
33,Butaritari,KI,2021-03-04 00:07:15,3.0707,172.7902,81.32,81,40,14.92
34,Saskylakh,RU,2021-03-04 00:05:35,71.9167,114.0833,-41.82,80,79,1.48
35,Geraldton,AU,2021-03-04 00:06:11,-28.7667,114.6,69.8,88,10,10.36
36,Khatanga,RU,2021-03-04 00:05:14,71.9667,102.5,-37.84,78,0,6.4
37,Longyearbyen,SJ,2021-03-04 00:07:16,78.2186,15.6401,8.6,61,0,11.5
